Sector,Empleo Directo,Porcentaje Empleo Directo
Viñedos,53000,53%
"Logística, Transporte y Marketing",19000,19%
Bodegas,17000,17%
Envasado,9000,9%
Producción,2000,2%
Total,100000,100%
