Datos Julio 2023,Exportaciones (millones de litros),Valor (USD millones FOB),Variación en Volumen respecto a julio 2022 (%),Variación en Valor (%) respecto a julio 2022
Exportaciones totales de vino,57.1,142.0,-20.5,-17.7
Vino con denominación de Origen,31.5,112.8,-26.7,-18.3
Vino a Granel,20.7,18.2,-11.7,-20.6
Total Enero-Julio 2023,378.9,863.0,-24.5,-24.0
