Dato,Valor
% del vino de las Exportaciones que no son Cobre,5.7
% de las Exportaciones Agropecuarias,16.5
Recaudación Fiscal (USD),205.0
% del PIB,0.5
Trabajos Directos,100000.0
Bodegas Activas,800.0
Empresas Exportadoras (Pymes),299.0
Superficie Vitícola fuera de la R.M.,91.0
Bodegas fuera de la R.M.,92.0
