Región,Vinos con D.O.,Vinos sin D.O.,Total
Tarapacá,0,3434,3434
Atacama,177207,40930,218137
Coquimbo,51652592,21341626,72994218
Valparaíso,18949709,121700,21032596
Metropolitana,81964851,5115001,87764852
Lib. Bernardo O’Higgins,333580589,17954648,363757625
Maule,434529618,95220309,543907293
Ñuble,2706854,10254064,13335017
Bío Bío,167833,206266,0
Araucanía,7155,3335,10490
Los Lagos,5820,849,6669
Aysén,1147,0,1147
Total,923734375,150262162,1103031478
