Datos,Porcentaje
Superficie Vitícola fuera de la RM (%),91.0
Bodegas fuera de la Región Metropolitana (%),92.0
Trabajo fuera de la Región Metropolitana (%),85.0
Viñas en O'Higgins (%),32.7
Viñas en El Maule (%),37.9
