Fuente,Unidad,2017,2018,2019,Variación
Agua superficial,miles m3,12749,14533,19359,33%
Agua subterránea,miles m3,4237,4624,6409,39%
Agua Municipal,miles m3,7,8,11,44%
Consumo total,miles m3,16993,19165,25779,51.70%
