Fuente,Unidad,2017,2018,2019,Variación
Agua superficial,miles m3,6747,7598,19359,155%
Agua subterránea,miles m3,2758,3021,6409,112%
Agua Municipal,miles m3,6,7,11,57%
Consumo total,Mega Lts,9511,10627,25779,171.04%
